Airport	Carrier	Weather	NationalAirSystem	Security	Total		
ROA	12	15	7	0	34		
ROC	30	63	28	0	121		
ROW	1	0	0	0	1		
RST	14	47	34	0	95		
RSW	10	19	1	0	30		
SAN	135	105	43	0	283		
SAV	40	29	21	0	90		
SBA	18	21	34	0	73		
SBN	35	41	53	0	129		
SBP	12	14	18	0	44		
SCC	1	2	0	0	3		
SCE	8	6	0	0	14		
SDF	28	70	35	0	133		
SEA	95	45	12	0	152		
SFO	309	181	443	0	933		
SGF	26	67	31	0	124		
SGU	2	9	0	0	11		
SHV	33	22	3	0	58		
SIT	2	1	0	0	3		
SJC	96	43	14	0	153		
SJT	1	4	0	0	5		
SJU	32	4	1	0	37		
SLC	108	230	4	0	342		
SLE	0	1	0	0	1		
SMF	60	51	27	0	138		
SMX	1	6	0	0	7		
SNA	99	30	49	0	178		
SPI	19	8	14	0	41		
SPS	10	10	1	0	21		
SRQ	8	13	0	0	21		
STL	107	166	43	0	316		
STT	3	1	0	0	4		
SUX	8	1	0	0	9		
SWF	9	11	0	0	20		
SYR	33	55	26	0	114		
TEX	4	20	5	0	29		
TLH	6	6	0	0	12		
TOL	2	14	17	0	33		
TPA	60	57	8	0	125		
TRI	6	9	0	0	15		
TUL	32	24	15	0	71		
TUS	18	11	2	0	31		
TVC	14	16	15	0	45		
TWF	9	18	0	0	27		
TXK	6	10	0	0	16		
TYR	5	11	1	0	17		
TYS	26	31	8	0	65		
VLD	3	3	0	0	6		
VPS	5	20	3	0	28		
WRG	1	3	0	0	4		
XNA	55	36	42	0	133		
YAK	2	1	0	0	3		
YKM	1	1	0	0	2		
YUM	13	1	1	0	15		
