place,lat,lon,Carrier,Weather,NationalAirSystem,Security,years
IAD,38.9475,77.46,446,151,66,0,663
IAH,29.98444444,95.34138889,43,169,16,0,228
ICT,37.65,97.43305556,38,36,48,0,122
IDA,43.51361111,112.0708333,7,12,0,0,19
ILM,34.27055556,77.9025,5,10,0,0,15
IND,39.71722222,86.29472222,64,95,49,0,208
IPL,32.83416667,115.5786111,1,2,0,0,3
ISP,40.79527778,73.10027778,2,22,1,0,25
ITO,19.72025,155.0483333,8,0,0,0,8
IYK,35.65861111,117.8294444,5,4,1,0,10
JAC,43.60722222,110.7377778,8,35,2,0,45
JAX,30.49416667,81.68777778,50,54,5,0,109
JFK,40.63972222,73.77888889,140,257,54,0,451
JNU,58.355,134.5763889,11,13,0,0,24
KOA,19.73877778,156.0455556,10,0,0,0,10
KTN,55.35416667,131.7111111,4,4,0,0,8
LAN,42.77861111,84.58666667,26,16,28,0,70
LAS,36.08,115.1522222,238,132,68,0,438
LAW,34.56777778,98.41666667,4,6,0,0,10
LAX,33.9425,118.4072222,387,162,83,0,632
LBB,33.66361111,101.8227778,6,12,0,0,18
LCH,30.12611111,93.22333333,0,2,0,0,2
LEX,38.03638889,84.60583333,12,39,19,0,70
LFT,30.20527778,91.9875,5,18,0,0,23
LGA,40.77722222,73.8725,320,503,271,0,1094
LGB,33.81777778,118.1516667,17,9,0,0,26
LIH,21.97597222,159.3388889,9,0,0,0,9
LIT,34.72944444,92.22444444,26,36,15,0,77
LNK,40.85111111,96.75916667,9,5,35,0,49
LRD,27.54380556,99.46166667,2,4,0,0,6
LSE,43.87916667,91.25666667,2,20,25,0,47
LWS,46.37444444,117.0152778,0,1,0,0,1
LYH,37.32527778,79.20055556,2,6,0,0,8
MAF,31.9425,102.2019444,3,5,0,0,8
MBS,43.53277778,84.07972222,19,15,27,0,61
MCI,39.2975,94.71388889,104,126,26,0,256
MCN,32.69277778,83.64916667,2,6,0,0,8
MCO,28.42944444,81.30888889,64,67,9,0,140
MDT,40.19361111,76.76333333,29,34,12,0,75
MDW,41.78611111,87.7525,144,483,10,0,637
MEI,32.3325,88.75194444,2,4,0,0,6
MEM,35.0425,89.97666667,214,123,60,0,397
MFE,26.17583333,98.23861111,0,9,0,0,9
MFR,42.37416667,122.8736111,9,11,19,0,39
MGM,32.30055556,86.39388889,6,6,0,0,12
MHT,42.93277778,71.43583333,23,54,16,0,93
MIA,25.79325,80.29055556,52,33,9,0,94
MKE,42.94722222,87.89666667,46,186,88,0,320
MLB,28.10277778,80.64527778,8,8,1,0,17
MLI,41.44861111,90.50722222,26,38,29,0,93
MLU,32.51083333,92.03777778,5,11,1,0,17
MOB,30.69138889,88.24277778,9,14,3,0,26
MOD,37.62583333,120.9544444,5,10,20,0,35
MOT,48.25777778,101.2780556,0,2,0,0,2
MQT,46.353611,87.395278,2,12,2,0,16
MRY,36.58694444,121.8430556,9,18,35,0,62
MSN,43.13972222,89.3375,36,140,80,0,256
MSO,46.91638889,114.0905556,4,2,0,0,6
MSP,44.88194444,93.22166667,230,180,105,0,515
MSY,29.99333333,90.25805556,38,19,5,0,62
MTJ,38.50972222,107.8941667,3,6,3,0,12
MYR,33.67972222,78.92833333,27,17,3,0,47
OAJ,34.82916667,77.61222222,0,5,0,0,5
OAK,37.72138889,122.2208333,185,43,17,0,245
OGG,20.89863889,156.4305556,20,0,0,0,20
OKC,35.39305556,97.60083333,34,42,25,0,101
OMA,41.30305556,95.89416667,29,46,34,0,109
OME,64.51222222,165.4452778,6,8,0,0,14
ONT,34.05611111,117.6011111,46,24,21,0,91
ORD,41.98083333,87.90666667,1068,1560,2389,0,5017
ORF,36.89472222,76.20111111,38,24,26,0,88
OTZ,66.88472222,162.5986111,5,5,0,0,10
OXR,34.20083333,119.2072222,0,1,1,0,2
PBI,26.68316667,80.09555556,16,24,5,0,45
PDX,45.58833333,122.5975,65,25,6,0,96
PFN,30.21222222,85.68277778,6,11,2,0,19
PHF,37.13194444,76.49305556,3,24,4,0,31
PHL,39.87222222,75.24083333,156,182,97,0,435
PHX,33.43416667,112.0116667,262,143,61,0,466
PIA,40.66416667,89.69333333,22,30,67,0,119
PIH,42.90972222,112.5958333,2,9,0,0,11
PIT,40.49138889,80.23277778,90,75,54,0,219
PLN,45.57083333,84.79666667,3,5,4,0,12
PMD,34.62944444,118.0844444,1,0,3,0,4
PNS,30.47333333,87.18666667,21,34,9,0,64
PSC,46.26472222,119.1188889,5,9,1,0,15
PSG,56.80166667,132.9452778,1,3,0,0,4
PSP,33.82972222,116.5066667,14,34,5,0,53
PVD,41.72388889,71.42833333,29,51,22,0,102
PWM,43.64611111,70.30916667,21,39,10,0,70
RAP,44.04527778,103.0572222,8,5,0,0,13
RDD,40.50888889,122.2933333,3,0,16,0,19
RDM,44.25416667,121.15,2,2,1,0,5
RDU,35.87777778,78.7875,95,108,49,0,252
RFD,42.19527778,89.09722222,3,2,0,0,5
RHI,45.63111111,89.4675,2,2,1,0,5
RIC,37.50527778,77.31972222,42,50,21,0,113
RNO,39.49916667,119.7680556,18,75,22,0,115
ROA,37.32555556,79.97555556,12,15,7,0,34
ROC,43.11888889,77.6725,30,63,28,0,121
ROW,33.30166667,104.5305556,1,0,0,0,1
RST,43.90833333,92.5,14,47,34,0,95
RSW,26.53616667,81.75527778,10,19,1,0,30
SAN,32.73361111,117.1897222,135,105,43,0,283
SAV,32.1275,81.20222222,40,29,21,0,90
SBA,34.42611111,119.8413889,18,21,34,0,73
SBN,41.70833333,86.31722222,35,41,53,0,129
SBP,35.23722222,120.6425,12,14,18,0,44
SCC,70.19472222,148.4652778,1,2,0,0,3
SCE,40.849167,77.848611,8,6,0,0,14
SDF,38.17416667,85.73638889,28,70,35,0,133
SEA,47.45,122.3116667,95,45,12,0,152
SFO,37.61888889,122.375,309,181,443,0,933
SGF,37.24555556,93.38861111,26,67,31,0,124
SGU,37.09055556,113.5930556,2,9,0,0,11
SHV,32.44666667,93.82555556,33,22,3,0,58
SIT,57.04722222,135.3616667,2,1,0,0,3
SJC,37.36277778,121.9291667,96,43,14,0,153
SJT,31.35777778,100.4963889,1,4,0,0,5
SJU,18.43941667,66.00194444,32,4,1,0,37
SLC,40.78833333,111.9777778,108,230,4,0,342
SLE,44.90944444,123.0025,0,1,0,0,1
SMF,38.69555556,121.5908333,60,51,27,0,138
SMX,34.89888889,120.4575,1,6,0,0,7
SNA,33.67555556,117.8683333,99,30,49,0,178
SPI,39.84416667,89.67805556,19,8,14,0,41
SPS,33.98888889,98.49194444,10,10,1,0,21
SRQ,27.39544444,82.55444444,8,13,0,0,21
STL,38.74861111,90.37,107,166,43,0,316
STT,18.33730556,64.97333333,3,1,0,0,4
SUX,42.4025,96.38444444,8,1,0,0,9
SWF,41.50416667,74.10472222,9,11,0,0,20
SYR,43.11111111,76.10638889,33,55,26,0,114
TEX,37.95388889,107.9086111,4,20,5,0,29
TLH,30.39666667,84.35027778,6,6,0,0,12
TOL,41.58666667,83.80777778,2,14,17,0,33
TPA,27.97555556,82.53333333,60,57,8,0,125
TRI,36.47527778,82.4075,6,9,0,0,15
TUL,36.19833333,95.88805556,32,24,15,0,71
TUS,32.11611111,110.9411111,18,11,2,0,31
TVC,44.74166667,85.58222222,14,16,15,0,45
TWF,42.48166667,114.4877778,9,18,0,0,27
TXK,33.45361111,93.99111111,6,10,0,0,16
TYR,32.35416667,95.4025,5,11,1,0,17
TYS,35.81111111,83.99388889,26,31,8,0,65
VLD,30.78138889,83.27611111,3,3,0,0,6
VPS,30.48333333,86.52527778,5,20,3,0,28
WRG,56.48444444,132.3697222,1,3,0,0,4
XNA,36.28194444,94.30694444,55,36,42,0,133
YAK,59.50333333,139.6602778,2,1,0,0,3
YKM,46.56805556,120.5441667,1,1,0,0,2
YUM,32.656667,114.606111,13,1,1,0,15
