years,place,lat,lon
2,MOT,48.25777778,-101.2780556
16,MQT,46.353611,-87.395278
62,MRY,36.58694444,-121.8430556
256,MSN,43.13972222,-89.3375
6,MSO,46.91638889,-114.0905556
515,MSP,44.88194444,-93.22166667
62,MSY,29.99333333,-90.25805556
12,MTJ,38.50972222,-107.8941667
47,MYR,33.67972222,-78.92833333
5,OAJ,34.82916667,-77.61222222
245,OAK,37.72138889,-122.2208333
20,OGG,20.89863889,-156.4305556
101,OKC,35.39305556,-97.60083333
109,OMA,41.30305556,-95.89416667
14,OME,64.51222222,-165.4452778
91,ONT,34.05611111,-117.6011111
5017,ORD,41.98083333,-87.90666667
88,ORF,36.89472222,-76.20111111
10,OTZ,66.88472222,-162.5986111
2,OXR,34.20083333,-119.2072222
45,PBI,26.68316667,-80.09555556
96,PDX,45.58833333,-122.5975
19,PFN,30.21222222,-85.68277778
31,PHF,37.13194444,-76.49305556
435,PHL,39.87222222,-75.24083333
466,PHX,33.43416667,-112.0116667
119,PIA,40.66416667,-89.69333333
11,PIH,42.90972222,-112.5958333
219,PIT,40.49138889,-80.23277778
12,PLN,45.57083333,-84.79666667
4,PMD,34.62944444,-118.0844444
64,PNS,30.47333333,-87.18666667
15,PSC,46.26472222,-119.1188889
4,PSG,56.80166667,-132.9452778
53,PSP,33.82972222,-116.5066667
102,PVD,41.72388889,-71.42833333
70,PWM,43.64611111,-70.30916667
13,RAP,44.04527778,-103.0572222
19,RDD,40.50888889,-122.2933333
5,RDM,44.25416667,-121.15
252,RDU,35.87777778,-78.7875
5,RFD,42.19527778,-89.09722222
5,RHI,45.63111111,-89.4675
113,RIC,37.50527778,-77.31972222
115,RNO,39.49916667,-119.7680556
34,ROA,37.32555556,-79.97555556
121,ROC,43.11888889,-77.6725
1,ROW,33.30166667,-104.5305556
95,RST,43.90833333,-92.5
30,RSW,26.53616667,-81.75527778
283,SAN,32.73361111,-117.1897222
90,SAV,32.1275,-81.20222222
73,SBA,34.42611111,-119.8413889
129,SBN,41.70833333,-86.31722222
44,SBP,35.23722222,-120.6425
3,SCC,70.19472222,-148.4652778
14,SCE,40.849167,-77.848611
133,SDF,38.17416667,-85.73638889
152,SEA,47.45,-122.3116667
933,SFO,37.61888889,-122.375
124,SGF,37.24555556,-93.38861111
11,SGU,37.09055556,-113.5930556
58,SHV,32.44666667,-93.82555556
3,SIT,57.04722222,-135.3616667
153,SJC,37.36277778,-121.9291667
5,SJT,31.35777778,-100.4963889
342,SLC,40.78833333,-111.9777778
1,SLE,44.90944444,-123.0025
138,SMF,38.69555556,-121.5908333
7,SMX,34.89888889,-120.4575
178,SNA,33.67555556,-117.8683333
41,SPI,39.84416667,-89.67805556
21,SPS,33.98888889,-98.49194444
21,SRQ,27.39544444,-82.55444444
316,STL,38.74861111,-90.37
9,SUX,42.4025,-96.38444444
20,SWF,41.50416667,-74.10472222
114,SYR,43.11111111,-76.10638889
29,TEX,37.95388889,-107.9086111
12,TLH,30.39666667,-84.35027778
33,TOL,41.58666667,-83.80777778
125,TPA,27.97555556,-82.53333333
15,TRI,36.47527778,-82.4075
71,TUL,36.19833333,-95.88805556
31,TUS,32.11611111,-110.9411111
45,TVC,44.74166667,-85.58222222
27,TWF,42.48166667,-114.4877778
16,TXK,33.45361111,-93.99111111
17,TYR,32.35416667,-95.4025
65,TYS,35.81111111,-83.99388889
6,VLD,30.78138889,-83.27611111
28,VPS,30.48333333,-86.52527778
4,WRG,56.48444444,-132.3697222
133,XNA,36.28194444,-94.30694444
3,YAK,59.50333333,-139.6602778
2,YKM,46.56805556,-120.5441667
15,YUM,32.656667,-114.606111
